Date;Start;End;Germany/Luxembourg [€/MWh] Original resolutions
May 3, 2023;12:00 AM;1:00 AM;39.66
May 3, 2023;1:00 AM;2:00 AM;39.23
May 3, 2023;3:00 AM;4:00 AM;40.12
May 3, 2023;4:00 AM;5:00 AM;40.88
May 3, 2023;5:00 AM;6:00 AM;41.42
May 3, 2023;6:00 AM;7:00 AM;63.49
May 3, 2023;7:00 AM;8:00 AM;73.09
May 3, 2023;8:00 AM;9:00 AM;77.24
May 3, 2023;9:00 AM;10:00 AM;79.6
May 3, 2023;10:00 AM;11:00 AM;78.58
May 3, 2023;11:00 AM;12:00 PM;76
May 3, 2023;12:00 PM;1:00 PM;61.89
May 3, 2023;1:00 PM;2:00 PM;55.44
May 3, 2023;2:00 PM;3:00 PM;50.46
May 3, 2023;3:00 PM;4:00 PM;46.02
May 3, 2023;4:00 PM;5:00 PM;48.35
May 3, 2023;5:00 PM;6:00 PM;77.09
May 3, 2023;6:00 PM;7:00 PM;106.65
May 3, 2023;7:00 PM;8:00 PM;117.86
May 3, 2023;8:00 PM;9:00 PM;112.59
May 3, 2023;9:00 PM;10:00 PM;104.63
May 3, 2023;10:00 PM;11:00 PM;99.42
May 3, 2023;11:00 PM;12:00 AM;94.64
May 4, 2023;12:00 AM;1:00 AM;96
May 4, 2023;1:00 AM;2:00 AM;93.15
May 4, 2023;2:00 AM;3:00 AM;87.48
May 4, 2023;3:00 AM;4:00 AM;83.99
May 4, 2023;4:00 AM;5:00 AM;84.9
May 4, 2023;5:00 AM;6:00 AM;92.85
May 4, 2023;6:00 AM;7:00 AM;115
May 4, 2023;7:00 AM;8:00 AM;142.99
May 4, 2023;8:00 AM;9:00 AM;151.31
May 4, 2023;9:00 AM;10:00 AM;118.76
May 4, 2023;10:00 AM;11:00 AM;94.85
May 4, 2023;11:00 AM;12:00 PM;80.93
May 4, 2023;12:00 PM;1:00 PM;68.26
May 4, 2023;1:00 PM;2:00 PM;54.91
May 4, 2023;2:00 PM;3:00 PM;42.74
May 4, 2023;3:00 PM;4:00 PM;46.16
May 4, 2023;4:00 PM;5:00 PM;49.62
May 4, 2023;5:00 PM;6:00 PM;74.37
May 4, 2023;6:00 PM;7:00 PM;95.95
May 4, 2023;7:00 PM;8:00 PM;124.38
May 4, 2023;8:00 PM;9:00 PM;116.07
May 4, 2023;9:00 PM;10:00 PM;105.99
May 4, 2023;10:00 PM;11:00 PM;103.52
May 4, 2023;11:00 PM;12:00 AM;91.46
